Event Name,StartDate,EndDate
"Metejoor                             
          (sold out)",2022/04/18,2022/04/18
INUIT & Het Depot presents Noonzy + Ciao Kennedy,2022/04/18,2022/04/18
Dub Unit,2022/04/18,2022/04/18
"The Psychedelic Furs                             
          (geannuleerd)",2022/04/16,2022/04/16
Depot Café presents Maida Rose,2022/04/14,2022/04/14
"Whispering Sons + 
          El Yunque",2022/04/13,2022/04/13
"The Haunted Youth + 
          Bobbi Lu",2022/04/12,2022/04/12
Madou,2022/04/10,2022/04/10
"Shht + 
          Cassecouilles",2022/04/09,2022/04/09
Depot Café presents Bonzo,2022/04/07,2022/04/07
Open Mic,2022/04/06,2022/04/06
"COOL presents Cory Wong                             
          (sold out)",2022/04/03,2022/04/03
"Los Lobos                             
          (geannuleerd)",2022/04/02,2022/04/02
"Yves Deruyter + 
          Amber Broos + Flashback Force + Tanzen",2022/04/01,2022/04/01
"The Sore Losers + 
          Ramkot",2022/03/30,2022/03/30
"Douglas Firs + 
          Rosa Butsi",2022/03/29,2022/03/29
PAARD.,2022/03/28,2022/03/28
"Yevgueni                             
          (extra tickets)",2022/03/27,2022/03/27
"Yevgueni                              
          (extra tickets)",2022/03/26,2022/03/26
"Brutus                             
          (nieuwe datum)",2022/03/25,2022/03/25
"Avi Kaplan + 
          Kaleb Jones",2022/03/23,2022/03/23
Float Fall,2022/03/21,2022/03/21
SX unplugged,2022/03/18,2022/03/18
"Bebel Gilberto                             
          (geannuleerd)",2022/03/16,2022/03/16
Depot Café presents Lunace,2022/03/14,2022/03/14
"Oldskool Leuven XL                              
          (sold out)",2022/03/12,2022/03/12
"Sylvie Kreusch + 
          Patches
      
          (sold out)",2022/03/11,2022/03/11
"STIKSTOF + 
          RonnyHuana
      
          (sold out)",2022/03/10,2022/03/10
"STIKSTOF  + 
          Vinci
      
          (extra concert)",2022/03/09,2022/03/09
"STAKE + 
          Vandal X + Divided",2022/03/08,2022/03/08
"Pokey LaFarge                             
          (geannuleerd)",2022/03/07,2022/03/07
Willy presents High Voltage,2022/03/05,2022/03/05
Open Mic,2022/03/02,2022/03/02
"COOL Festival 2022
                                     
          (geannuleerd)",2022/03/02,2022/03/27
BRNS,2022/02/22,2022/02/22
"Josh Rouse + Vetiver                             
          (geannuleerd)",2022/02/17,2022/02/17
"Selah Sue                              
          (try-out) (sold out)",2022/02/15,2022/02/15
Depot Café presents Charles,2022/02/14,2022/02/14
Pachyman,2022/02/10,2022/02/10
"IBE                             
          (geannuleerd)",2022/02/08,2022/02/08
"James Vincent McMorrow                             
          (geannuleerd)",2022/02/04,2022/02/04
(Don't) Mind The Future,2022/02/04,2022/02/04
(Don't) Mind The Future,2022/02/03,2022/02/03
Open Mic,2022/02/02,2022/02/02
(Don't) Mind The Future,2022/02/02,2022/02/02
(Don't) Mind The Future,2022/02/01,2022/02/01
Preselectie Humo's Rock Rally 2022,2022/01/29,2022/01/29
Stijn Meuris – Tirade #5 – De Stilstand,2022/01/28,2022/01/28
"Steve Wynn                             
          (laatste tickets)",2022/01/25,2022/01/25
"COOL presents Aaron Frazer                             
          (geannuleerd)",2022/01/24,2022/01/24
"Open Mic                              
          (geannuleerd)",2022/01/12,2022/01/12
